feature,coef
snow_1h,-549.7989012295234
is_rush_hour,-411.88544651171986
is_weekend,-408.2659882798506
is_holiday,-273.23551033295877
hour_cos,-161.04878468528707
wm_other,122.87974524462068
wm_snow,-84.66154490019584
dow_cos,-69.90974376075967
wm_haze,-61.656993467004945
wm_drizzle,55.08686541731821
wm_thunderstorm,-40.31529340193261
hour_sin,-34.91020335761544
month_sin,28.93402687906571
day_of_week,-27.684036046162937
dow_sin,-18.059988260867794
wm_fog,11.943498506388366
rain_1h,-10.486322067971525
year,8.07821418544953
wm_clouds,7.751861502219592
wm_mist,-7.088271666152695
hour,-4.660260536870995
wm_rain,-4.4127226799183115
temp,2.6971206467184268
month_cos,2.188074074590285
traffic_lag_1h,0.9345180635003185
wm_clear,0.4728554457982788
traffic_roll_mean_3h,-0.40367339599016816
month,-0.3498310120279193
clouds_all,-0.33704872186807666
traffic_lag_168h,0.25392009927813675
traffic_lag_24h,0.13440038904725604
traffic_roll_mean_24h,-0.05455475843850677
