feature,importance
traffic_lag_1h,0.5879856080266332
traffic_lag_168h,0.23462177179415725
hour_cos,0.11859045750120964
hour,0.009356755807679553
dow_sin,0.007555634088472744
day_of_week,0.0070031662352502645
traffic_roll_mean_3h,0.006774067035466648
hour_sin,0.006394112324935956
traffic_lag_24h,0.005567283890631333
is_weekend,0.005282872899898732
temp,0.002773255574146242
traffic_roll_mean_24h,0.0014569957463780622
month,0.0008766851563280078
year,0.0008349148804789453
dow_cos,0.0008103572238168597
month_sin,0.0007212863600910364
month_cos,0.0006841648728623868
clouds_all,0.0006329044709015039
is_rush_hour,0.0004594435930710048
wm_clouds,0.00016678129904018092
wm_snow,0.0001540760068737518
wd_overcast clouds,0.0001425744630671589
wd_broken clouds,0.00013994093423127233
wd_light snow,0.00012013251531407114
rain_1h,0.0001134297413386202
wd_snow,9.632619374664449e-05
wd_scattered clouds,7.843379504502976e-05
wm_clear,6.592319327325864e-05
wm_rain,6.258641126419689e-05
wd_sky is clear,6.135721917454406e-05
wd_light rain,4.999447147368527e-05
wm_mist,4.91632085570049e-05
wd_few clouds,4.713682326294126e-05
wd_mist,4.4953154065417536e-05
wd_moderate rain,4.3486643247583586e-05
wd_heavy snow,3.479965150171774e-05
wm_haze,3.430671301502373e-05
wd_haze,3.0507008553236286e-05
wd_heavy intensity rain,1.9902246835972665e-05
wm_thunderstorm,1.81275177935352e-05
wd_proximity thunderstorm,1.041958364005001e-05
wm_fog,9.303022681259933e-06
wd_fog,8.181195261822297e-06
snow_1h,5.7286238405293665e-06
wm_drizzle,4.705953670771001e-06
is_holiday,3.862200475404168e-06
wd_very heavy rain,5.636036700040126e-07
wd_light intensity drizzle,4.741472967002333e-07
wd_thunderstorm with heavy rain,2.9220947017491625e-07
wd_drizzle,2.3820762985243783e-07
wd_thunderstorm with rain,1.8172353628411802e-07
wd_thunderstorm,1.316259489652462e-07
wd_proximity thunderstorm with rain,1.2221173826465448e-07
wd_proximity shower rain,6.549199111698503e-08
wd_light rain and snow,4.1412110495440294e-08
wd_thunderstorm with light rain,8.24208170613216e-09
wd_light intensity shower rain,2.5884370852629193e-09
wd_light shower snow,1.2634351382883995e-09
wd_heavy intensity drizzle,0.0
wm_other,0.0
wd_sleet,0.0
wd_proximity thunderstorm with drizzle,0.0
wd_thunderstorm with light drizzle,0.0
wd_thunderstorm with drizzle,0.0
wd_smoke,0.0
wd_squalls,0.0
