model,max_depth,min_samples_leaf,learning_rate,n_estimators_proxy,val_rmse,test_mae,test_rmse,test_r2
RF,20.0,3,,50,241.46,143.54,226.03,0.9869
RF,30.0,3,,50,242.09,,,
RF,,3,,50,242.4,,,
RF,20.0,5,,50,243.43,,,
RF,30.0,5,,50,243.98,,,
RF,,5,,50,244.03,,,
RF,,1,,50,244.25,,,
RF,30.0,1,,50,245.22,,,
RF,20.0,1,,50,246.52,,,
GBM,6.0,10,0.1,50,259.2,145.18,223.67,0.9872
GBM,6.0,10,0.08,50,262.26,,,
GBM,5.0,10,0.1,50,271.16,,,
GBM,5.0,10,0.08,50,276.84,,,
GBM,4.0,10,0.1,50,297.19,,,
GBM,4.0,10,0.08,50,302.93,,,
GBM,6.0,10,0.05,50,311.72,,,
GBM,5.0,10,0.05,50,327.15,,,
GBM,4.0,10,0.05,50,358.58,,,
